"time","exp","weibull","gompertz","lognormal","loglogit","gengamma"
205.4,0.614474017069116,0.675277493691307,0.672276085815592,0.621053377042642,0.660647155456199,0.679112325789376
205.5,0.614328346966436,0.675107521079435,0.67212674112832,0.620884666877561,0.660458810613509,0.678946541736789
205.6,0.614182711396996,0.67493756505247,0.671977408915835,0.620716015777408,0.660270506659059,0.67878077061638
205.7,0.61403711035261,0.674767625628133,0.671828089181698,0.620547423725903,0.660082243623604,0.678615012444028
205.8,0.613891543825093,0.674597702824123,0.671678781929466,0.620378890706748,0.659894021537824,0.678449267235599
205.9,0.613746011806262,0.674427796658122,0.671529487162696,0.620210416703627,0.659705840432325,0.678283535006944
206,0.613600514287936,0.67425790714779,0.671380204884945,0.620042001700207,0.659517700337636,0.678117815773901
206.1,0.613455051261936,0.674088034310769,0.671230935099771,0.619873645680139,0.659329601284212,0.677952109552293
206.2,0.613309622720087,0.673918178164678,0.671081677810729,0.619705348627053,0.659141543302433,0.677786416357929
206.3,0.613164228654212,0.673748338727118,0.670932433021375,0.619537110524564,0.658953526422604,0.677620736206604
206.4,0.613018869056138,0.67357851601567,0.670783200735266,0.61936893135627,0.658765550674955,0.6774550691141
206.5,0.612873543917695,0.673408710047895,0.670633980955955,0.61920081110575,0.658577616089641,0.677289415096183
206.6,0.612728253230714,0.673238920841334,0.670484773686997,0.619032749756569,0.658389722696744,0.677123774168608
206.7,0.612582996987026,0.673069148413506,0.670335578931947,0.61886474729227,0.65820187052627,0.676958146347112
206.8,0.612437775178467,0.672899392781914,0.670186396694358,0.618696803696384,0.65801405960815,0.676792531647422
206.9,0.612292587796874,0.672729653964038,0.670037226977784,0.618528918952422,0.657826289972243,0.676626930085248
207,0.612147434834085,0.67255993197734,0.669888069785777,0.618361093043879,0.657638561648331,0.676461341676289
207.1,0.61200231628194,0.67239022683926,0.66973892512189,0.618193325954233,0.657450874666125,0.676295766436225
207.2,0.611857232132283,0.672220538567222,0.669589792989674,0.618025617666946,0.657263229055259,0.676130204380729
207.3,0.611712182376956,0.672050867178626,0.669440673392682,0.617857968165463,0.657075624845294,0.675964655525454
207.4,0.611567167007808,0.671881212690854,0.669291566334464,0.617690377433211,0.65688806206572,0.675799119886042
207.5,0.611422186016685,0.67171157512127,0.66914247181857,0.617522845453603,0.656700540745949,0.675633597478122
207.6,0.611277239395439,0.671541954487214,0.668993389848553,0.617355372210034,0.656513060915321,0.675468088317306
207.7,0.611132327135921,0.671372350806011,0.66884432042796,0.617187957685883,0.656325622603102,0.675302592419195
207.8,0.610987449229985,0.671202764094963,0.668695263560342,0.617020601864512,0.656138225838488,0.675137109799375
207.9,0.610842605669487,0.671033194371355,0.668546219249247,0.616853304729268,0.655950870650596,0.674971640473417
208,0.610697796446286,0.670863641652448,0.668397187498224,0.616686066263481,0.655763557068474,0.674806184456881
208.1,0.61055302155224,0.670694105955489,0.66824816831082,0.616518886450465,0.655576285121094,0.67464074176531
208.2,0.610408280979213,0.670524587297701,0.668099161690584,0.616351765273519,0.655389054837358,0.674475312414236
208.3,0.610263574719067,0.67035508569629,0.667950167641063,0.616184702715924,0.655201866246093,0.674309896419175
208.4,0.610118902763668,0.67018560116844,0.667801186165804,0.616017698760947,0.655014719376053,0.67414449379563
208.5,0.609974265104884,0.670016133731318,0.667652217268352,0.615850753391839,0.654827614255919,0.673979104559091
208.6,0.609829661734584,0.66984668340207,0.667503260952253,0.615683866591833,0.654640550914301,0.673813728725033
208.7,0.60968509264464,0.669677250197823,0.667354317221054,0.61551703834415,0.654453529379735,0.673648366308918
208.8,0.609540557826924,0.669507834135684,0.667205386078299,0.615350268631992,0.654266549680685,0.673483017326195
208.9,0.609396057273313,0.66933843523274,0.667056467527532,0.615183557438549,0.654079611845542,0.673317681792297
209,0.609251590975683,0.669169053506061,0.666907561572298,0.615016904746991,0.653892715902625,0.673152359722644
209.1,0.609107158925913,0.668999688972695,0.66675866821614,0.614850310540476,0.653705861880181,0.672987051132644
209.2,0.608962761115885,0.668830341649671,0.666609787462602,0.614683774802146,0.653519049806385,0.672821756037691
209.3,0.608818397537482,0.668661011554,0.666460919315226,0.614517297515128,0.65333227970934,0.672656474453163
209.4,0.608674068182588,0.668491698702672,0.666312063777555,0.614350878662532,0.653145551617076,0.672491206394426
209.5,0.60852977304309,0.668322403112658,0.666163220853131,0.614184518227455,0.652958865557552,0.672325951876833
209.6,0.608385512110877,0.668153124800911,0.666014390545494,0.614018216192977,0.652772221558656,0.672160710915722
209.7,0.60824128537784,0.667983863784363,0.665865572858187,0.613851972542165,0.652585619648202,0.671995483526417
209.8,0.60809709283587,0.667814620079928,0.665716767794749,0.61368578725807,0.652399059853935,0.671830269724231
209.9,0.607952934476864,0.667645393704499,0.665567975358721,0.613519660323729,0.652212542203527,0.671665069524461
210,0.607808810292716,0.667476184674951,0.665419195553643,0.613353591722162,0.652026066724579,0.67149988294239
210.1,0.607664720275326,0.66730699300814,0.665270428383053,0.613187581436376,0.65183963344462,0.671334709993289
